property_id,suburb,address,Postcode,source_url,sale_price,sale_date,prev_sale_price,prev_sale_date,property_type,bedrooms,bathrooms,car_spaces,Pool,land_size_m2,building_size_m2,year_built,auction_type,Storeys,renovated,listing_description,Realtor,flag_notes,,
EP030,Epping,"16 Grandview Parade, Epping, NSW 2121",2121,https://www.realestate.com.au/sold/property-house-nsw-epping-148139680,"4,000,000",25-Jun-25,"$875,000 ",27-Mar-02,House,5,2,4,Yes,1201,394,NaN,No,2,No,Grand full-brick home on sprawling 1201sqm block,,The Agency - Epping,,
EP031,Epping,"15 Rockleigh Way, Epping, NSW 2121",2121,https://www.realestate.com.au/sold/property-house-nsw-epping-147916244,"2,266,000",29-May-25,"$830,000 ",2-Mar-12,House,3,2,2,No,257.6,125,NaN,Yes,1,Yes,SOLD for Complex Record Price,,Uniland Real Estate | Epping - Castle Hill,,
EP032,Epping,"54 Epping Avenue, Epping, NSW 2121",2121,https://www.realestate.com.au/sold/property-house-nsw-epping-145762164,"3,030,000",8-May-25,"$1,788,000 ",22-Mar-17,House,6,5,3,No,824,185,NaN,No,2,No,"STYLE, QUALITY & FUNCTIONALITY",Building size (450m2) sourced from listing description body text,Homeville - NORTH ROCKS,,
EP033,Epping,"5/52-54 Third Avenue, Epping, NSW 2121",2121,https://www.realestate.com.au/sold/property-villa-nsw-epping-147734836,"1,430,000",7-May-25,"$538,000 ",14-Jul-09,Villa,3,2,1,No,3088,220,NaN,No,1,No,Spacious Full-Brick Villa in Prime Location,"Land size (3,088m2) reflects the whole complex, not the individual villa lot; building size 220m2 is the individual unit",Ray White - Epping,,
EP034,Epping,"12B Kandy Avenue, Epping, NSW 2121",2121,https://www.realestate.com.au/sold/property-house-nsw-epping-147430980,"2,670,000",29-Mar-25,NaN,NaN,House,3,4,4,No,951.8,260,2005,No,4,No,Luxurious master-crafted home with short walk to Epping Metro,"Property Value section shows conflicting 6 bed/5 bath (vs listing's 3/4); floor area 260m2, built 2005 and storeys 4 sourced from Property Value section only",Belle Property Ryde - RYDE,,
EP035,Epping,"13 Chesterfield Road, Epping, NSW 2121",2121,https://www.realestate.com.au/sold/property-house-nsw-epping-146558984,"3,180,000",24-Jan-25,"$2,867,000 ",6-Nov-21,House,4,2,1,No,1005,240,NaN,No,1,No,"Chesterfield Charmer on Expansive 1,005sqm (approx.) Corner Block","Property Value section shows sold date as 17 Jan 2025 (differs from listing's 24 Jan 2025); prior sale in 2021 for $2,867,000",Uniland Real Estate | Epping - Castle Hill,,
EP036,Epping,"10 Leicester Street, Epping, NSW 2121",2121,https://www.realestate.com.au/sold/property-house-nsw-epping-146447036,"3,216,000",26-Nov-24,NaN,NaN,House,5,3,4,Yes,765,312,NaN,No,2,No,Spacious Family Oasis with Sparkling Salt Water Inground Pool,,Ray White - Carlingford,,
EP037,Epping,"14 Second Avenue, Epping, NSW 2121",2121,https://www.realestate.com.au/sold/property-house-nsw-epping-146491996,"2,850,000",23-Nov-24,"$760,000 ",4-Sep-03,House,4,3,2,Yes,697,262,1950,No,2,No,Family Entertainer in Cheltenham Girls Catchment and Potential Duplex Site (STCA),"Property Value section shows car spaces as 1 (vs listing's 2, garage+carport)",Stone Real Estate - Beecroft / Castle Hill / Epping,,
EP038,Epping,"2/1 Tarragundi Road, Epping, NSW 2121",2121,https://www.realestate.com.au/sold/property-villa-nsw-epping-146215628,"1,771,888",27-Oct-24,"$850,000 ",28-May-13,Villa,3,2,1,No,279,112,1994,Yes,1,Yes,Sold for New Suburb Record (villa),Land size (279m2) sourced from Property Value section; not stated in listing's own features,Uniland Real Estate | Epping - Castle Hill,,
EP039,Epping,"19 Windermere Road, Epping, NSW 2121",2121,https://www.realestate.com.au/sold/property-house-nsw-epping-146083220,"2,500,000",16-Oct-24,"$1,642,000 ",4-Sep-19,House,4,2,2,No,739,291,NaN,No,1,Yes,A Family Haven with Future Potential,,Tracy Yap Realty - Epping,,
EP040,Epping,"2 Abuklea Road, Epping, NSW 2121",2121,https://www.realestate.com.au/sold/property-house-nsw-epping-145725252,"2,550,000",19-Sep-24,"$266,000 ",10-Jun-93,House,3,1,2,Yes,1060,211,NaN,No,2,No,Character home & development opportunity on 1060m2,,Harris Partners Real Estate - Balmain,,
EP041,Epping,"11 Third Avenue, Epping, NSW 2121",2121,https://www.realestate.com.au/sold/property-house-nsw-epping-145772156,"2,826,000",8-Sep-24,"$443,000 ",13-Jun-02,House,4,2,3,No,562,261,2004,No,2,Yes,Tranquil Sunlit Family Haven in Ultra Convenient Locale,Property Value section shows car spaces as 2 (vs listing's 3),Uniland Real Estate | Epping - Castle Hill,,
EP042,Epping,"10 Hillside Crescent, Epping, NSW 2121",2121,https://www.realestate.com.au/sold/property-house-nsw-epping-145768412,"2,100,000",31-Aug-24,"$1,655,000 ",1-Mar-17,House,2,1,2,No,1182,201,1975,No,2,No,Fantastic home near Epping station and Park,"Property Value section shows conflicting 3 bed/3 bath/6 car (vs listing's 2/1/2); also shows historical sales in 2017 ($1,655,000) and 2002 ($650,000)",McGrath Epping,,
EP043,Epping,"5 McKechnie Street, Epping, NSW 2121",2121,https://www.realestate.com.au/sold/property-house-nsw-epping-145641440,"3,915,000",24-Aug-24,"$2,350,000 ",2-Dec-17,House,7,4,2,No,929,65,2012,No,2,No,Spacious Family Home with Granny Flat in Great Location,"Listing's own Property features separately list Carport spaces:2 + Garage spaces:2 (4 total) vs header icon showing car=2; Property Value section shows an unrelated/mismatched record (2 bed/1 bath/0 car Unit, built 2012, land 930m2, floor 65m2) - inconsistent with the listing's 7-bed house with granny flat description, likely a data error in that section",Stone Real Estate - Beecroft / Castle Hill / Epping,,
EP044,Epping,"3A Melrose Street, Epping, NSW 2121",2121,https://www.realestate.com.au/sold/property-house-nsw-epping-145382256,"4,400,000",27-Jul-24,NaN,NaN,House,5,3,2,No,526,268,,No,2,No,Luxuriously crafted brand new timeless masterpiece,,McGrath Epping,,
EP045,Epping,"4/73A Essex Street, Epping, NSW 2121",2121,https://www.realestate.com.au/sold/property-townhouse-nsw-epping-145592988,"1,690,000",25-Jul-24,"$680,000 ",1-Jul-11,Townhouse,3,2,2,,3860,85,1995,No,2,Yes,Luxury and convenient low maintenance lifestyle,"Land size (3,860m2) shown in Property Value section reflects the whole complex, not the individual townhouse lot (left blank)",McGrath Epping,,
property_id,suburb,address,Postcode,source_url, sale_price ,sale_date,prev_sale_price,prev_sale_date,property_type,bedrooms,bathrooms,car_spaces,Pool,land_size_m2,building_size_m2,year_built,auction_type,Storeys,renovated,listing_description,Realtor,flag_notes,,
BT001,Blacktown,"9 Nicholas Street, Blacktown, NSW 2148",2148,https://www.realestate.com.au/sold/property-house-nsw-blacktown-151025772," $1,200,000.00 ",7/28/2026,NaN,NaN,House,5,2,1,No,550,282,NaN,No,1,No,Spacious Family Home,Starr Partners - Blacktown,NaN,,
BT002,Blacktown,"3 Kingsford Street, Blacktown, NSW 2148",2148,https://www.realestate.com.au/sold/property-house-nsw-blacktown-151059772," $1,050,000.00 ",7/23/2026,NaN,NaN,House,3,2,1,No,768,204,NaN,No,1,No,Versatile Family Home with Detached Teenagers' Retreat & Expansive Backyard,Manor Real Estate,NaN,,
BT003,Blacktown,"1 Wilga Street, Blacktown, NSW 2148",2148,https://www.realestate.com.au/sold/property-house-nsw-blacktown-151470032," $950,000.00 ",6/22/2026,"$215,000 ",6-Oct-00,House,1,1,,No,626,145,NaN,No,1,No,SOLD BY CRAIG ROBINSON,Ray White Castle Hill,NaN,,
BT004,Blacktown,"13 Turner Street, Blacktown, NSW 2148",2148,https://www.realestate.com.au/sold/property-house-nsw-blacktown-150986952," $1,020,000.00 ",6/12/2026,"$801,000 ",29-Aug-21,House,3,1,2,No,562,206,1960,No,1,No,"Sold By Sandy Shi & Mandy Huang ""Maison Bridge Property""",Maison Bridge Property - WEST RYDE,NaN,,
BT005,Blacktown,"4/65 Turner Street, Blacktown, NSW 2148",2148,https://www.realestate.com.au/sold/property-villa-nsw-blacktown-150970708," $800,000.00 ",5/29/2026,"$625,000 ",25-Nov-22,Villa,3,1,2,No,2217,197,2003,No,1,No,Perfect First Home or Investment in a Quiet Complex,Manor Real Estate,NaN,,
BT006,Blacktown,"27 Fullam Road, Blacktown, NSW 2148",2148,https://www.realestate.com.au/sold/property-house-nsw-blacktown-150808324," $1,650,500.00 ",5/3/2026,"$691,000 ",28-Jul-20,House,5,2,4,No,565,253,2022,No,2,No,GRAND FAMILY HOME!, Sky Property,NaN,,
BT007,Blacktown,"18 De Castella Drive, Blacktown, NSW 2148",2148,https://www.realestate.com.au/sold/property-house-nsw-blacktown-150804088," $1,640,000.00 ",4/29/2026,"$135,900 ",16-Apr-99,House,4,3,2,No,573,300,2005,No,2,No,Luxurious Family Living with Expansive Spaces and Modern Comforts,Ausrealty Hills District,NaN,,
BT008,Blacktown,"6/78 Turner Street, Blacktown, NSW 2148",2148,https://www.realestate.com.au/sold/property-villa-nsw-blacktown-150485616," $790,000.00 ",4/11/2026,"$790,000 ",10-Mar-26,Villa,2,1,1,No,169,78,2008,,2,,Stylish Villa with Massive Backyard in Prime Blacktown Location,Harcourts - KELLYVILLE,NaN,,
BT009,Blacktown,"5 Huntley Drive, Blacktown, NSW 2148",2148,https://www.realestate.com.au/sold/property-townhouse-nsw-blacktown-150555776," $835,000.00 ",3/29/2026,"$643,000 ",25 November 2019 ,Townhouse,3,2,1,No,21686,89,1995,No,2,No,SOLD BY RICHARD MATTHEWS REAL ESTATE,Richard Matthews Real Estate - The Hills,NaN,,
BT010,Blacktown,"50 Ellerston Glade, Blacktown, NSW 2148",2148,https://www.realestate.com.au/sold/property-house-nsw-blacktown-149737172," $1,150,000.00 ",3/4/2026,"$900,000 ",26-Feb-23,House,3,2,2,No,354,146,2018,No,2,No,SOLD BY RONALD RAMIREZ,McConnell Bourn- Hills District,NaN,,
BT011,Blacktown,"10/36 Sylvia Street, Blacktown, NSW 2148",2148,https://www.realestate.com.au/sold/property-townhouse-nsw-blacktown-150444164," $821,000.00 ",2/27/2026,"$620,000 ",18 September 2021 ,Townhouse,3,1,2,No,2915,88,1998,No,2,No,SOLD OFF MARKET BY MARC HADDAD,Ray White United Group,NaN,,
BT012,Blacktown,"10/67 Orwell Street, Blacktown, NSW 2148",2148,https://www.realestate.com.au/sold/property-villa-nsw-blacktown-150005960," $732,000.00 ",2/2/2026,"$485,501 ",19-Sep-20,Villa,2,1,1,No,165,84,2002,No,2,No,The Perfect Start,Starr Partners - Blacktown,NaN,,
BT013,Blacktown,"26 Rutherford Street, Blacktown, NSW 2148",2148,https://www.realestate.com.au/sold/property-house-nsw-blacktown-149920004," $1,040,000.00 ",1/31/2026,NaN,NaN,House,1,1,,No,556,139,1960,Yes,1,No,Endless Potential on a Prime North-Facing Block,McGrath Blacktown,NaN,,
BT014,Blacktown,"11 Ironwood Crescent, Blacktown, NSW 2148",2148,https://www.realestate.com.au/sold/property-house-nsw-blacktown-149404572," $860,000.00 ",1/7/2026,"$607,000 ",7-Nov-15,House,2,1,1,No,372,153,2017,No,2,No,"Style, Space & Convenience!",McGrath Blacktown,NaN,,
BT015,Blacktown,"2/12 Sinclair Avenue, Blacktown, NSW 2148",2148,https://www.realestate.com.au/sold/property-townhouse-nsw-blacktown-149699120," $890,000.00 ",12/29/2025,"$620,000 ",15-Jul-17,Townhouse,3,2,2,No,6443,211,1996,No,2,No,PERFECT FIRST HOME,McConnell Bourn- Hills District,NaN,,
BT016,Blacktown,"13/41 Doonside Crescent, Blacktown, NSW 2148",2148,https://www.realestate.com.au/sold/property-villa-nsw-blacktown-149807708,"$850,000 ",5-Dec-25,"$710,000 ",3-Jul-23,Villa,3,2,1,No,217,100,2007,No,1,No,Charming & Spacious 3-Bedroom Villa - A Beautiful First Home or Smart Investment,Ray White - Blacktown City,,,
BT017,Blacktown,"47 Birdie Circuit, Blacktown, NSW 2148",2148,https://www.realestate.com.au/sold/property-house-nsw-blacktown-149271028," $1,065,000.00 ",11/27/2025,"$715,000 ",4-Apr-18,House,3,1,2,No,243,200,2019,No,2,No,SOLD BY VIJAY KHATRI,DKB Real Estate,NaN,,
BT018,Blacktown,"48 Birdie Circuit, Blacktown, NSW 2148",2148,https://www.realestate.com.au/sold/property-house-nsw-blacktown-149347140," $1,132,500.00 ",11/17/2025,"$768,000 ",14-Sep-20,House,3,2,2,No,169,147,2020,No,2,No,SOLD BY HASH SOULTANI BLACKTOWN'S #1 AGENT,Raine & Horne Soultani Group - BLACKTOWN,NaN,,
BT019,Blacktown,"12A Douglas Road, Blacktown, NSW 2148",2148,https://www.realestate.com.au/sold/property-townhouse-nsw-blacktown-145875708," $830,000.00 ",10/30/2025,"$620,000 ",28-Jan-20,Townhouse,3,2,1,No,8012,98,1999,No,2,No,Another Sold Off Market !!,Akshar Realty - BLACKTOWN,NaN,,
BT020,Blacktown,"45 Birdie Ct, Blacktown, NSW 2148",2148,https://www.realestate.com.au/sold/property-house-nsw-blacktown-149002244," $930,000.00 ",10/10/2025,"$665,000 ",27-Jun-19,House,2,1,1,No,186,180,2019,No,2,No,Paddington comes to the West,CameronCooper Real Estate,NaN,,
BT021,Blacktown,"35 Ironwood Crescent, Blacktown, NSW 2148",2148,https://www.realestate.com.au/sold/property-house-nsw-blacktown-148661756," $995,000.00 ",9/29/2025,"$699,000 ",19-Sep-19,House,3,2,2,No,178,171,2019,No,2,No,SOLD BY MATT BROOKS,Manor Real Estate,NaN,,
BT022,Blacktown,"128 & 128A Newton Road, Blacktown, NSW 2148",2148,https://www.realestate.com.au/sold/property-house-nsw-blacktown-148791076," $1,376,000.00 ",9/13/2025,"$147,500 ",28-Mar-91,House,4,2,2,No,929,254,,No,1,No,Huge 929m2 Block - Approved Dual Occupancy,McGrath Blacktown,NaN,,
BT023,Blacktown,"5 Hilltop Avenue, Blacktown, NSW 2148",2148,https://www.realestate.com.au/sold/property-house-nsw-blacktown-148581724," $1,131,000.00 ",8/17/2025,"$628,000 ",3-May-19,House,4,2,2,No,568,206,1975,Yes,2,Yes,SOLD AT AUCTION BY MATT BROOKS, Manor Real Estate,NaN,,
BT024,Blacktown,"37 Charles Street, Blacktown, NSW 2148",2148,https://www.realestate.com.au/sold/property-house-nsw-blacktown-148353952,"$1,146,000 ",28-Jul-25,"$324,950 ",16-Nov-02,House,4,2,2,No,569,231,1982,No,4,No,SOLD BY HASH SOULTANI BLACKTOWN'S,Raine & Horne Soultani Group - BLACKTOWN,,,
BT025,Blacktown,"33 Highview Street, Blacktown, NSW 2148",2148,https://www.realestate.com.au/sold/property-house-nsw-blacktown-148519892," $1,050,000.00 ",7/29/2025,"$1,050,000 ",28-Jul-25,House,4,3,2,No,670,188,NaN,No,1,No,Proudly Positioned - Motivated Sale!, OKARO - Rooty Hill,NaN,,
BT026,Blacktown,"37 Tudor Avenue, Blacktown, NSW 2148",2148,https://www.realestate.com.au/sold/property-house-nsw-blacktown-148347156," $1,615,555.00 ",7/20/2025,"$320,000 ",1-Sep-08,House,4,3,2,Yes,648,282,1970,Yes,2,No,SOLD AT AUCTION BY MATT BROOKS,Manor Real Estate,NaN,,
BT027,Blacktown,"63 Fairwater Boulevard, Blacktown, NSW 2148",2148,https://www.realestate.com.au/sold/property-house-nsw-blacktown-148201620," $1,141,500.00 ",6/29/2025,"$773,000 ",27-Sep-15,House,4,2,2,No,228,182,2016,No,2,No,Another outstanding results by team Ray White Kellyville Ridge,Ray White - Kellyville Ridge,NaN,,
BT028,Blacktown,"7/248 Flushcombe Road, Blacktown, NSW 2148",2148,https://www.realestate.com.au/sold/property-villa-nsw-blacktown-148035840," $650,000.00 ",6/24/2025,"$530,000 ",18-Jul-20,Villa,2,1,1,No,"20,020",187,2009,No,2,No,Modern 2-Bedroom Villa in Prime Blacktown Location,United RE,NaN,,
BT029,Blacktown,"4/98 Newton Road, Blacktown, NSW 2148",2148,https://www.realestate.com.au/sold/property-townhouse-nsw-blacktown-148036060," $870,000.00 ",5/26/2025,"$650,000 ",5-Dec-16,Townhouse,3,2,1,No,1374,128,2017,No,2,No,Enjoy the Convenience: Walking Distance to Westpoint & Blacktown Station!,Ray White - Blacktown City,NaN,,
BT030,Blacktown,"10/5-7 Fifth Avenue, Blacktown, NSW 2148",2148,https://www.realestate.com.au/sold/property-villa-nsw-blacktown-147611268," $590,000.00 ",5/13/2025,"$275,500 ",12-May-04,Villa,2,1,1,No,"2,684",170,1984,No,2,No,Prime Blacktown Location,Urban Real Estate - Glenmore Park,NaN,,
BT031,Blacktown,"5 Ajax Place, Blacktown, NSW 2148",2148,https://www.realestate.com.au/sold/property-house-nsw-blacktown-147559664," $1,075,000.00 ",4/17/2025,"$956,000 ",22-Jan-22,House,3,2,2,No,594.4,159,1970,No,1,No,Functional And Fetching Family Home,Agius Property Group - NORWEST,NaN,,
BT032,Blacktown,"10/59-61 Cambridge Street, Blacktown, NSW 2148",2148,https://www.realestate.com.au/sold/property-villa-nsw-blacktown-147618976," $848,000.00 ",4/17/2025,"$590,000 ",10-Dec-14,Villa,3,2,2,No,3423,89,2015,No,2,No,Cozy 3 Bedroom Villa,Sweet Realty - WEST RYDE,NaN,,
BT033,Blacktown,"68 Walters Road, Blacktown, NSW 2148",2148,https://www.realestate.com.au/sold/property-house-nsw-blacktown-147276272," $1,880,000.00 ",3/22/2025,"$820,000 ",3-Nov-21,House,6,3,2,Yes,556,335,2023,No,2,No,Stunning Family Home in Blacktown,McConnell Bourn- Hills District,NaN,,
BT034,Blacktown,"2A Lancaster Street, Blacktown, NSW 2148",2148,https://www.realestate.com.au/sold/property-house-nsw-blacktown-147184088," $1,101,000.00 ",2/20/2025,"$735,000 ",13-Jun-15,House,4,2,2,No,320,177,2013,No,2,No,Contemporary Chic Style Double Story House,Uniland Real Estate | Epping - Castle Hill,NaN,,
BT035,Blacktown,"25B/179 Reservoir Road, Blacktown, NSW 2148",2148,https://www.realestate.com.au/sold/property-villa-nsw-blacktown-147083896," $570,000.00 ",2/18/2025,NaN,NaN,Villa,2,1,1,No,1820,136,1991,No,2,No,Charming Villa,Starr Partners - Blacktown,NaN,,
BT036,Blacktown,"9 Orwell Street, Blacktown, NSW 2148",2148,https://www.realestate.com.au/sold/property-house-nsw-blacktown-146017300," $1,300,000.00 ",1/21/2025,"$1,300,000 ",30-Oct-21,House,3,2,3,No,1119,206,1970,No,2,No,Opportunity Knocks in South Blacktown - Large 1119sqm Block!,Harcourts Unlimited - Blacktown,NaN,,
BT037,Blacktown,"47 Kurrajong Crescent, Blacktown, NSW 2148",2148,https://www.realestate.com.au/sold/property-house-nsw-blacktown-146617632," $1,290,000.00 ",1/7/2025,"$715,000 ",20-Dec-17,House,6,4,4,No,568,310,1960,No,2,No,contact agent,Ray White Blacktown City,NaN,,
BT038,Blacktown,"94 Fairwater Boulevard, Blacktown, NSW 2148",2148,https://www.realestate.com.au/sold/property-house-nsw-blacktown-146456972," $845,000.00 ",12/16/2024,"$805,000 ", Manor Real Estate,House,2,1,2,No,161,88,2018,No,2,No,SOLD BY HASH SOULTANI,SOLD BY HASH SOULTANI,NaN,,
BT039,Blacktown,"14/39 Newhaven Avenue, Blacktown, NSW 2148",2148,https://www.realestate.com.au/sold/property-villa-nsw-blacktown-146541728," $900,000.00 ",11/29/2024,"$865,000 ",25-Sep-23,Villa,4,2,1,No,380,154,2013,No,2,No,BEST VILLA IN BLACKTOWN,McConnell Bourn- Hills District,NaN,,
BT040,Blacktown,"16 Meroo Street, Blacktown, NSW 2148",2148,https://www.realestate.com.au/sold/property-house-nsw-blacktown-146121532," $1,800,000.00 ",10/21/2024,"$730,000 ",27-Mar-10,House,5,2,4,No,973,289,1995,No,2,Yes,Beautiful Family Home!,Raine & Horne Soultani Group - BLACKTOWN,NaN,,
BT041,Blacktown,"29 Burke Street, Blacktown, NSW 2148",2148,https://www.realestate.com.au/sold/property-house-nsw-blacktown-145879076," $1,505,000.00 ",9/21/2024,"$845,500 ","$845,500 ",House,5,3,4,No,601,285,1960,No,2,Yes,YOUR PROPERTY IS WORTH MORE WITH VIKAS SALUJA!,First National Real Estate Neptune,NaN,,
BT042,Blacktown,"76/177 Reservoir Road, Blacktown, NSW 2148",2148,https://www.realestate.com.au/sold/property-townhouse-nsw-blacktown-145753636," $700,000.00 ",8/25/2024,"$521,501 ",9-Nov-16,Townhouse,3,1,1,Yes,"20,202",86,1989,No,2,No,CALL IT YOUR FIRST HOME!!,Akshar Realty - BLACKTOWN,NaN,,
BT043,Blacktown,"18 Flyer Glade, Blacktown, NSW 2148",2148,https://www.realestate.com.au/property/18-flyer-gld-blacktown-nsw-2148/,"$864,000 ",12-Aug-24,"$687,000 ",27-Oct-20,House,2,2,2,No,153,106,2020,No,2,No,The Perfect Retreat in Fairwater,Sweet Realty - WEST RYDE,NaN,,
BT044,Blacktown,"6 Shirley Street, Blacktown, NSW 2148",2148,https://www.realestate.com.au/sold/property-house-nsw-blacktown-145411240,"$995,000 ",22-Jul-24,NaN,NaN,House,3,2,2,No,556,160,NaN,No,1,No,LOCATION LOCATION LOCATION,Raine & Horne Soultani Group - BLACKTOWN,NaN,,
BT045,Blacktown,"32A Newhaven Avenue, Blacktown, NSW 2148",2148,https://www.realestate.com.au/sold/property-house-nsw-blacktown-145340584,"$1,430,000 ",16-Jul-24,NaN,NaN,House,5,3,2,No,389,276,2024,No,2,No,one of a kind,Starr Partners - Blacktown,NaN,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
